market_skip_norm,other_designations,supervision_area,context,direct_access,fillup,fillup_dry,fillup_rainy,number_skips,y,x,notes
khama,NA,Limbe,market,paved road,NA,NA,NA,1,-15.7677,35.0745,NA
nanjiri,NA,Limbe,market,paved road,NA,NA,NA,1,-15.7447,35.0811,NA
south lunzu,NA,Limbe,market,through market (dirt path),NA,NA,NA,1,-15.730886,35.056115,NA
kamba,"kamba,soche market",Soche,market,through market (dirt path),NA,7,5,1,-15.809408,35.015302,NA
thawale,"zingwangwa,thawale",Soche,market,dirt road,NA,2,1,1,-15.818641,35.013449,NA
chimwankhunda,NA,Soche,residential,dirt road,NA,7,5,1,-15.824438,35.013879,NA
chilobwe police,NA,Soche,residential,dirt road,3,NA,NA,1,-15.832503,35.005804,NA
zingwangwa mosque,NA,Soche,residential,dirt road,NA,7,4,1,-15.816962,35.011709,NA
zingwangwa waterboard,NA,Soche,residential,dirt road,7,NA,NA,1,-15.816168,35.014583,NA
queens guardian shelter,NA,Ginnery Corner,residential,dirt road,NA,14,3,1,-15.8029,35.0193,NA
namwalimwe,NA,Ginnery Corner,residential,paved road,NA,21,7,1,-15.7825,35.0354,NA
chilunga,"chilunga,matope",Ginnery Corner,residential,dirt road,21,NA,NA,1,-15.7765,35.0483,To the side of the road in the middle of construction rubble for the road
mibawa,NA,Blantyre,market,paved road,3,NA,NA,2,-15.788659000000001,35.007426,NA
blantyre flea market,NA,Blantyre,market,paved road/through market,1,NA,NA,0,-15.788709,35.006394,NA
mbwerera,NA,Blantyre,residential,paved road,7,NA,NA,1,-15.7706,34.9945,NA
chilomoni fargo,NA,Blantyre,residential,dirt road,5,NA,NA,1,-15.7759,34.9811,NA
chilomoni market,NA,Blantyre,market,through market (dirt path),5,NA,NA,1,-15.7734,34.9817,NA
nthukwa,NA,Blantyre,market,through market (dirt path),4,NA,NA,1,-15.7638,34.9801,NA
manase,NA,Blantyre,market,through market (dirt path),7,NA,NA,1,-15.811957,34.993324,"Only working skip handler can't fit, they service with compactor while the other is getting repaired"
kameza roundabout,NA,Blantyre,market,paved road,NA,NA,NA,1,-15.724875,35.018847,NA
mapeto,NA,Private,NA,NA,NA,NA,NA,NA,-15.791154,35.030642,NA
kayange,NA,NA,NA,NA,NA,NA,NA,NA,-15.775705,35.002751,NA
CFAO,NA,Private,NA,NA,NA,NA,NA,NA,-15.794062,35.011608,NA
valmole paint,NA,Private,NA,NA,NA,NA,NA,NA,-15.791334,35.019226,NA
wenera,NA,Private,NA,NA,NA,NA,NA,NA,-15.785647,35.015758,NA
barroworld,NA,Private,NA,NA,NA,NA,NA,NA,-15.797722,35.028758,NA
limbe hardware,NA,Limbe,NA,NA,NA,NA,NA,0,NA,NA,Moved to Pafumbi bus station
limbe jumani,NA,Limbe,NA,NA,NA,NA,NA,0,NA,NA,Removed
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
